Guardians of the Galaxy,Chris Pratt- Vin Diesel- Bradley Cooper- Zoe Saldana
Prometheus,Noomi Rapace- Logan Marshall-Green- Michael Fassbender- Charlize Theron
Split,James McAvoy- Anya Taylor-Joy- Haley Lu Richardson- Jessica Sula
Sing,Matthew McConaughey-Reese Witherspoon- Seth MacFarlane- Scarlett Johansson
Suicide Squad,Will Smith- Jared Leto- Margot Robbie- Viola Davis
The Great Wall,Matt Damon- Tian Jing- Willem Dafoe- Andy Lau
La La Land,Ryan Gosling- Emma Stone- Rosemarie DeWitt- J.K. Simmons
Mindhorn,Essie Davis- Andrea Riseborough- Julian Barratt-Kenneth Branagh
The Lost City of Z,Charlie Hunnam- Robert Pattinson- Sienna Miller- Tom Holland
Passengers,Jennifer Lawrence- Chris Pratt- Michael Sheen-Laurence Fishburne
Fantastic Beasts and Where to Find Them,Eddie Redmayne- Katherine Waterston- Alison Sudol-Dan Fogler
Hidden Figures,Taraji P. Henson- Octavia Spencer- Janelle Monáe-Kevin Costner
Rogue One,Felicity Jones- Diego Luna- Alan Tudyk- Donnie Yen
Moana,Auli'i Cravalho- Dwayne Johnson- Rachel House- Temuera Morrison
Colossal,Anne Hathaway- Jason Sudeikis- Austin Stowell-Tim Blake Nelson
The Secret Life of Pets,Louis C.K.- Eric Stonestreet- Kevin Hart- Lake Bell
Hacksaw Ridge,Andrew Garfield- Sam Worthington- Luke Bracey-Teresa Palmer
Jason Bourne,Matt Damon- Tommy Lee Jones- Alicia Vikander-Vincent Cassel
Lion,Dev Patel- Nicole Kidman- Rooney Mara- Sunny Pawar
Arrival,Amy Adams- Jeremy Renner- Forest Whitaker-Michael Stuhlbarg
Gold,Matthew McConaughey- Edgar Ramírez- Bryce Dallas Howard- Corey Stoll
Manchester by the Sea,Casey Affleck- Michelle Williams- Kyle Chandler-Lucas Hedges
Hounds of Love,Emma Booth- Ashleigh Cummings- Stephen Curry-Susie Porter
Trolls,Anna Kendrick- Justin Timberlake-Zooey Deschanel- Christopher Mintz-Plasse
Independence Day: Resurgence,Liam Hemsworth- Jeff Goldblum- Bill Pullman-Maika Monroe
Paris pieds nus,Fiona Gordon- Dominique Abel-Emmanuelle Riva- Pierre Richard
Bahubali: The Beginning,Prabhas- Rana Daggubati- Anushka Shetty-Tamannaah Bhatia
