Guardians of the Galaxy,Chris Pratt- Vin Diesel- Bradley Cooper- Zoe Saldana
Prometheus,Noomi Rapace- Logan Marshall-Green- Michael Fassbender- Charlize Theron
Split,James McAvoy- Anya Taylor-Joy- Haley Lu Richardson- Jessica Sula
Sing,Matthew McConaughey-Reese Witherspoon- Seth MacFarlane- Scarlett Johansson
Suicide Squad,Will Smith- Jared Leto- Margot Robbie- Viola Davis
The Great Wall,Matt Damon- Tian Jing- Willem Dafoe- Andy Lau
La La Land,Ryan Gosling- Emma Stone- Rosemarie DeWitt- J.K. Simmons
Mindhorn,Essie Davis- Andrea Riseborough- Julian Barratt-Kenneth Branagh
The Lost City of Z,Charlie Hunnam- Robert Pattinson- Sienna Miller- Tom Holland
Passengers,Jennifer Lawrence- Chris Pratt- Michael Sheen-Laurence Fishburne
